kategori,adet
"adana","5"
"adıyaman","1"
"afyonkarahisar","2"
"aksaray","5"
"ankara","20"
"antalya","8"
"artvin","1"
"aydın","2"
"balıkesir","4"
"bartın","1"
"batman","1"
"bayburt","2"
"bilecik","2"
"bitlis","2"
"bolu","3"
"bursa","13"
"denizli","3"
"diyarbakır","5"
"düzce","1"
"edirne","5"
"elazığ","3"
"erzurum","3"
"eskişehir","5"
"gaziantep","2"
"giresun","3"
"hakkari","1"
"hatay","2"
"istanbul","53"
"izmir","13"
"karabük","1"
"kars","3"
"kayseri","5"
"kocaeli","6"
"konya","5"
"kütahya","2"
"mersin","1"
"muğla","3"
"ordu","2"
"rize","2"
"sakarya","7"
"samsun","7"
"sinop","1"
"sivas","1"
"tekirdağ","5"
"tokat","1"
"trabzon","4"
"tunceli","1"
"van","6"
"yozgat","3"
"zonguldak","1"
"çanakkale","3"
"şırnak","1"
