ardahan,231.08,237510,102782,,yuzdelik oran,goc sayisi,il nufusu
sinop,179.25,366681,204568,,,,
bayburt,155.20,117360,75620,,,,
kastamonu,149.02,548546,368093,,,,
erzincan,137.51,302511,219996,,,,
sivas,118.07,736542,623824,,,,
giresun,114.61,487115,425007,,,,
tunceli,99.69,85159,85428,,,,
gümüşhane,97.23,137495,141412,,,,
rize,90.30,296375,328205,,,,
kars,89.54,269388,300874,,,,
çankırı,82.95,158352,190909,,,,
tokat,76.13,455817,598708,,,,
ordu,68.33,499782,731452,,,,
siirt,66.10,207661,314153,,,,
bitlis,57.92,195279,337156,,,,
amasya,53.96,173739,321977,,,,
trabzon,52.16,395474,758237,,,,
malatya,51.46,392435,762538,,,,
bartın,50.95,96375,189139,,,,
erzurum,49.89,382519,766729,,,,
artvin,48.82,82673,169334,,,,
bingöl,48.28,128195,265514,,,,
ığdır,44.79,85286,190424,,,,
karabük,41.12,94684,230251,,,,
kırklareli,35.03,119301,340559,,,,
samsun,33.06,417120,1261810,,,,
muş,32.20,132840,412553,,,,
çorum,32.09,170754,532080,,,,
yozgat,31.21,138629,444211,,,,
nevşehir,30.95,88350,285460,,,,
kilis,29.11,37427,128586,,,,
adıyaman,28.96,172919,597184,,,,
ağrı,28.48,156992,551177,,,,
edirne,27.50,109609,398582,,,,
mardin,26.24,204630,779738,,,,
niğde,25.62,88061,343658,,,,
elazığ,24.94,141697,568239,,,,
bolu,23.11,65525,283496,,,,
batman,22.69,124247,547581,,,,
kırşehir,19.99,44673,223498,,,,
zonguldak,19.91,119771,601567,,,,
bilecik,17.61,36784,208888,,,,
van,15.67,167648,1070113,,,,
istanbul,15.38,2178507,14160467,,,,
çanakkale,15.23,76499,502328,,,,
sakarya,14.82,135920,917373,,,,
düzce,13.58,47741,351509,,,,
tekirdağ,13.47,117749,874475,,,,
ısparta,13.01,54364,417774,,,,
kırıkkale,12.29,33761,274658,,,,
aksaray,12.02,46006,382806,,,,
kayseri,11.85,153491,1295355,,,,
diyarbakır,11.74,188745,1607437,,,,
karaman,10.79,25671,237939,,,,
yalova,9.47,20845,220122,,,,
kahramanmaraş,9.02,97056,1075706,,,,
balıkesir,8.53,99145,1162761,,,,
afyonkarahisar,8.00,56585,707123,,,,
konya,7.28,151298,2079225,,,,
eskişehir,6.70,53580,799724,,,,
şırnak,6.43,30558,475255,,,,
şanlıurfa,6.26,112849,1801980,,,,
uşak,6.00,20791,346508,,,,
hatay,5.90,88666,1503066,,,,
osmaniye,5.72,28557,498981,,,,
kütahya,5.19,29665,572059,,,,
gaziantep,4.24,78238,1844438,,,,
adana,3.86,83013,2149260,,,,
bursa,3.57,97899,2740970,,,,
kocaeli,3.41,57179,1676202,,,,
hakkari,3.39,9263,273041,,,,
burdur,3.37,8680,257267,,,,
manisa,3.29,44734,1359463,,,,
mersin,3.23,55032,1705774,,,,
denizli,3.09,29746,963464,,,,
aydın,2.71,27642,1020957,,,,
antalya,2.02,43573,2158265,,,,
ankara,1.80,90793,5045083,,,,
izmir,1.65,67127,4061074,,,,
muğla,1.65,14281,866665,,,,
