il,nufus,kaynak:,http://www.kampussurucukursu.com/index.php?option=com_content&view=article&id=121:nufus&catid=51:sss&Itemid=65
adana,2125635,,
adıyaman,595261,,
afyonkarahisar,703948,,
ağrı,552404,,
aksaray,379915,,
amasya,322283,,
ankara,4965542,,
antalya,2092537,,
ardahan,106643,,
artvin,167082,,
aydın,1006541,,
balıkesir,1160731,,
bartın,188436,,
batman,534205,,
bayburt,75797,,
bilecik,204116,,
bingöl,262507,,
bitlis,337253,,
bolu,281080,,
burdur,254341,,
bursa,2688171,,
çanakkale,493691,,
çankırı,184406,,
çorum,529975,,
denizli,950557,,
diyarbakır,1592167,,
düzce,346493,,
edirne,399708,,
elazığ,562703,,
erzincan,217886,,
erzurum,778195,,
eskişehir,789750,,
gaziantep,1799558,,
giresun,419555,,
gümüşhane,135216,,
hakkari,279982,,
hatay,1483674,,
ığdır,190409,,
ısparta,416663,,
istanbul,13854740,,
izmir,4005459,,
kahramanmaraş,1063174,,
karabük,225145,,
karaman,235424,,
kars,304821,,
kastamonu,359808,,
kayseri,1274968,,
kilis,124320,,
kırıkkale,274727,,
kırklareli,341218,,
kırşehir,221209,,
kocaeli,1634691,,
konya,2052281,,
kütahya,573421,,
malatya,762366,,
manisa,1346162,,
mardin,773026,,
mersin,1682848,,
muğla,851145,,
muş,413260,,
nevşehir,285190,,
niğde,340270,,
ordu,741371,,
osmaniye,492135,,
rize,324152,,
sakarya,902267,,
samsun,1251722,,
şanlıurfa,1762075,,
siirt,310879,,
sinop,201311,,
sivas,623535,,
şırnak,466982,,
tekirdağ,852321,,
tokat,613990,,
trabzon,757898,,
tunceli,86276,,
uşak,342269,,
van,1051975,,
yalova,211799,,
yozgat,453211,,
zonguldak,606527,,
