kategori,Bin kisi basina girdi sayisi,adet,nufus,Nufus kaynak:,http://www.kampussurucukursu.com/index.php?option=com_content&view=article&id=121:nufus&catid=51:sss&Itemid=65
adana,0.8538624929,1815,2125635,,
adıyaman,0.2318310791,138,595261,,
afyonkarahisar,0.369345463,260,703948,,
ağrı,0.2353350084,130,552404,,
aksaray,0.3527104747,134,379915,*,
amasya,0.5585153421,180,322283,,
ankara,1.7649634219,8764,4965542,,
antalya,0.9223253878,1930,2092537,,
ardahan,0.7595435237,81,106643,,
artvin,1.5800624843,264,167082,,
aydın,0.3924330951,395,1006541,,
balıkesir,0.3368566877,391,1160731,,
bartın,0.5678320491,107,188436,,
batman,0.872324295,466,534205,TODO,
bayburt,1.9393907411,147,75797,,
bilecik,1.15130612,235,204116,,
bingöl,0.457130667,120,262507,,
bitlis,0.2134895761,72,337253,,
bolu,0.6261562544,176,281080,,
burdur,0.6487353592,165,254341,,
bursa,0.3861361498,1038,2688171,,
çanakkale,0.8446578933,417,493691,,
çankırı,0.7429259352,137,184406,,
çorum,0.2830322185,150,529975,,
denizli,0.8237275618,783,950557,,
diyarbakır,0.3341358036,532,1592167,,
düzce,0.3607576488,125,346493,,
edirne,1.3835099623,553,399708,,
elazığ,0.5366952016,302,562703,,
erzincan,0.729739405,159,217886,,
erzurum,0.535855409,417,778195,,
eskişehir,3.7315606204,2947,789750,,
gaziantep,0.3011850688,542,1799558,,
giresun,0.5982529108,251,419555,,
gümüşhane,0.650810555,88,135216,,
hakkari,0.9393461008,263,279982,,
hatay,0.5452680306,809,1483674,* antakya eklendi,
ığdır,0.5304371117,101,190409,,
ısparta,0.698406146,291,416663,,
istanbul,0.4309716386,5971,13854740,,
izmir,1.6075560878,6439,4005459,,
kahramanmaraş,0.2247985748,239,1063174,,
karabük,0.3686513136,83,225145,,
karaman,0.4587467718,108,235424,,
kars,0.7348575065,224,304821,,
kastamonu,0.500266809,180,359808,,
kayseri,0.4172653745,532,1274968,,
kilis,0.6837194337,85,124320,,
kırıkkale,0.5023168455,138,274727,,
kırklareli,0.6125116494,209,341218,,
kırşehir,0.5650764661,125,221209,,
kocaeli,0.3560305893,582,1634691,* izmit (indirilmedi, elle),
konya,0.3444947354,707,2052281,,
kütahya,0.6557136903,376,573421,,
malatya,0.3580957178,273,762366,,
manisa,0.1663989921,224,1346162,,
mardin,0.4359491143,337,773026,,
mersin,0.4634999715,780,1682848,* icel eklendi,
muğla,0.256125572,218,851145,,
muş,0.2468179838,102,413260,,
nevşehir,0.3155790876,90,285190,,
niğde,0.3555999647,121,340270,,
ordu,0.3830740614,284,741371,,
osmaniye,0.207260203,102,492135,,
rize,1.2000542955,389,324152,,
sakarya,0.3602037978,325,902267,,
samsun,0.5999734765,751,1251722,,
şanlıurfa,0.129960416,229,1762075,,
siirt,0.3763522142,117,310879,,
sinop,1.723701139,347,201311,,
sivas,0.6126360188,382,623535,,
şırnak,0.1884440942,88,466982,,
tekirdağ,0.3050493887,260,852321,,
tokat,0.2573331813,158,613990,,
trabzon,1.3379109062,1014,757898,,
tunceli,5.1115026195,441,86276,,
uşak,0.4002699631,137,342269,,
van,0.3460158274,364,1051975,,
yalova,1.1614785717,246,211799,,
yozgat,1.0546963776,478,453211,,
zonguldak,0.474834591,288,606527,,
